Scale Factor,Variant,Trial,Query,Time
10,widetable,2,Q4.3,0.02733
10,widetable,3,Q1.1,0.02222
10,widetable,3,Q1.2,0.01953
10,widetable,3,Q1.3,0.01666
10,widetable,3,Q2.1,0.15731
10,widetable,3,Q2.2,0.03105
10,widetable,3,Q2.3,0.02555
10,widetable,3,Q3.1,0.27593
10,widetable,3,Q3.2,0.1243
10,widetable,3,Q3.3,0.04005
10,widetable,3,Q3.4,0.02612
10,widetable,3,Q4.1,0.03871
10,widetable,3,Q4.2,0.04763
10,widetable,3,Q4.3,0.02892
10,widetable,4,Q1.1,0.02273
10,widetable,4,Q1.2,0.01829
10,widetable,4,Q1.3,0.01623
10,widetable,4,Q2.1,0.16132
10,widetable,4,Q2.2,0.03136
10,widetable,4,Q2.3,0.01805
10,widetable,4,Q3.1,0.27018
10,widetable,4,Q3.2,0.12863
10,widetable,4,Q3.3,0.0413
10,widetable,4,Q3.4,0.02178
10,widetable,4,Q4.1,0.03806
10,widetable,4,Q4.2,0.04282
10,widetable,4,Q4.3,0.02708
10,widetable,5,Q1.1,0.02253
10,widetable,5,Q1.2,0.01852
10,widetable,5,Q1.3,0.01636
10,widetable,5,Q2.1,0.16102
10,widetable,5,Q2.2,0.03166
10,widetable,5,Q2.3,0.01853
10,widetable,5,Q3.1,0.27346
10,widetable,5,Q3.2,0.12527
10,widetable,5,Q3.3,0.03895
10,widetable,5,Q3.4,0.02308
10,widetable,5,Q4.1,0.03806
10,widetable,5,Q4.2,0.04225
10,widetable,5,Q4.3,0.02753
10,widetable,6,Q1.1,0.02642
10,widetable,6,Q1.2,0.01841
10,widetable,6,Q1.3,0.01644
10,widetable,6,Q2.1,0.16108
10,widetable,6,Q2.2,0.03072
10,widetable,6,Q2.3,0.01856
10,widetable,6,Q3.1,0.27214
10,widetable,6,Q3.2,0.12563
10,widetable,6,Q3.3,0.03925
10,widetable,6,Q3.4,0.02117
10,widetable,6,Q4.1,0.03803
10,widetable,6,Q4.2,0.04331
10,widetable,6,Q4.3,0.02667
10,widetable,7,Q1.1,0.02231
10,widetable,7,Q1.2,0.01955
10,widetable,7,Q1.3,0.01643
10,widetable,7,Q2.1,0.15687
10,widetable,7,Q2.2,0.03135
10,widetable,7,Q2.3,0.0196
10,widetable,7,Q3.1,0.27726
10,widetable,7,Q3.2,0.12497
10,widetable,7,Q3.3,0.04069
10,widetable,7,Q3.4,0.02159
10,widetable,7,Q4.1,0.03797
